Running on source code
Failed to get git commit hash, using hardcoded version number instead.
Hey testers! We recommend you use git to clone the repository, as it makes things easier for everyone.
There are instructions at https://discord.com/channels/1003759225522110524/1054942461178421289/1078170877117616169
Version Name:  0.9.0
Running on commit 0.9.0
pygame-ce 2.5.0 (SDL 2.30.3, Python 3.12.5)
WARNING: nonexistent sprite - tortiemaskSHILOH0
WARNING: nonexistent sprite - tortiemaskSHILOH1
WARNING: nonexistent sprite - tortiemaskSHILOH2
WARNING: nonexistent sprite - tortiemaskSHILOH3
WARNING: nonexistent sprite - tortiemaskSHILOH4
WARNING: nonexistent sprite - tortiemaskSHILOH5
WARNING: nonexistent sprite - tortiemaskSHILOH6
WARNING: nonexistent sprite - tortiemaskSHILOH7
WARNING: nonexistent sprite - tortiemaskSHILOH8
WARNING: nonexistent sprite - tortiemaskSHILOH9
WARNING: nonexistent sprite - tortiemaskSHILOH10
WARNING: nonexistent sprite - tortiemaskSHILOH11
WARNING: nonexistent sprite - tortiemaskSHILOH12
WARNING: nonexistent sprite - tortiemaskSHILOH13
WARNING: nonexistent sprite - tortiemaskSHILOH14
WARNING: nonexistent sprite - tortiemaskSHILOH15
WARNING: nonexistent sprite - tortiemaskSHILOH16
WARNING: nonexistent sprite - tortiemaskSHILOH17
WARNING: nonexistent sprite - tortiemaskSHILOH18
WARNING: nonexistent sprite - tortiemaskSHILOH19
WARNING: nonexistent sprite - tortiemaskSHILOH20
WARNING: nonexistent sprite - tortiemaskFRECKLED0
WARNING: nonexistent sprite - tortiemaskFRECKLED1
WARNING: nonexistent sprite - tortiemaskFRECKLED2
WARNING: nonexistent sprite - tortiemaskFRECKLED3
WARNING: nonexistent sprite - tortiemaskFRECKLED4
WARNING: nonexistent sprite - tortiemaskFRECKLED5
WARNING: nonexistent sprite - tortiemaskFRECKLED6
WARNING: nonexistent sprite - tortiemaskFRECKLED7
WARNING: nonexistent sprite - tortiemaskFRECKLED8
WARNING: nonexistent sprite - tortiemaskFRECKLED9
WARNING: nonexistent sprite - tortiemaskFRECKLED10
WARNING: nonexistent sprite - tortiemaskFRECKLED11
WARNING: nonexistent sprite - tortiemaskFRECKLED12
WARNING: nonexistent sprite - tortiemaskFRECKLED13
WARNING: nonexistent sprite - tortiemaskFRECKLED14
WARNING: nonexistent sprite - tortiemaskFRECKLED15
WARNING: nonexistent sprite - tortiemaskFRECKLED16
WARNING: nonexistent sprite - tortiemaskFRECKLED17
WARNING: nonexistent sprite - tortiemaskFRECKLED18
WARNING: nonexistent sprite - tortiemaskFRECKLED19
WARNING: nonexistent sprite - tortiemaskFRECKLED20
WARNING: nonexistent sprite - tortiemaskHEARTBEAT0
WARNING: nonexistent sprite - tortiemaskHEARTBEAT1
WARNING: nonexistent sprite - tortiemaskHEARTBEAT2
WARNING: nonexistent sprite - tortiemaskHEARTBEAT3
WARNING: nonexistent sprite - tortiemaskHEARTBEAT4
WARNING: nonexistent sprite - tortiemaskHEARTBEAT5
WARNING: nonexistent sprite - tortiemaskHEARTBEAT6
WARNING: nonexistent sprite - tortiemaskHEARTBEAT7
WARNING: nonexistent sprite - tortiemaskHEARTBEAT8
WARNING: nonexistent sprite - tortiemaskHEARTBEAT9
WARNING: nonexistent sprite - tortiemaskHEARTBEAT10
WARNING: nonexistent sprite - tortiemaskHEARTBEAT11
WARNING: nonexistent sprite - tortiemaskHEARTBEAT12
WARNING: nonexistent sprite - tortiemaskHEARTBEAT13
WARNING: nonexistent sprite - tortiemaskHEARTBEAT14
WARNING: nonexistent sprite - tortiemaskHEARTBEAT15
WARNING: nonexistent sprite - tortiemaskHEARTBEAT16
WARNING: nonexistent sprite - tortiemaskHEARTBEAT17
WARNING: nonexistent sprite - tortiemaskHEARTBEAT18
WARNING: nonexistent sprite - tortiemaskHEARTBEAT19
WARNING: nonexistent sprite - tortiemaskHEARTBEAT20
WARNING: nonexistent sprite - scarsHINDLEG0
WARNING: nonexistent sprite - scarsHINDLEG1
WARNING: nonexistent sprite - scarsHINDLEG2
WARNING: nonexistent sprite - scarsHINDLEG3
WARNING: nonexistent sprite - scarsHINDLEG4
WARNING: nonexistent sprite - scarsHINDLEG5
WARNING: nonexistent sprite - scarsHINDLEG6
WARNING: nonexistent sprite - scarsHINDLEG7
WARNING: nonexistent sprite - scarsHINDLEG8
WARNING: nonexistent sprite - scarsHINDLEG9
WARNING: nonexistent sprite - scarsHINDLEG10
WARNING: nonexistent sprite - scarsHINDLEG11
WARNING: nonexistent sprite - scarsHINDLEG12
WARNING: nonexistent sprite - scarsHINDLEG13
WARNING: nonexistent sprite - scarsHINDLEG14
WARNING: nonexistent sprite - scarsHINDLEG15
WARNING: nonexistent sprite - scarsHINDLEG16
WARNING: nonexistent sprite - scarsHINDLEG17
WARNING: nonexistent sprite - scarsHINDLEG18
WARNING: nonexistent sprite - scarsHINDLEG19
WARNING: nonexistent sprite - scarsHINDLEG20
WARNING: nonexistent sprite - scarsBACK0
WARNING: nonexistent sprite - scarsBACK1
WARNING: nonexistent sprite - scarsBACK2
WARNING: nonexistent sprite - scarsBACK3
WARNING: nonexistent sprite - scarsBACK4
WARNING: nonexistent sprite - scarsBACK5
WARNING: nonexistent sprite - scarsBACK6
WARNING: nonexistent sprite - scarsBACK7
WARNING: nonexistent sprite - scarsBACK8
WARNING: nonexistent sprite - scarsBACK9
WARNING: nonexistent sprite - scarsBACK10
WARNING: nonexistent sprite - scarsBACK11
WARNING: nonexistent sprite - scarsBACK12
WARNING: nonexistent sprite - scarsBACK13
WARNING: nonexistent sprite - scarsBACK14
WARNING: nonexistent sprite - scarsBACK15
WARNING: nonexistent sprite - scarsBACK16
WARNING: nonexistent sprite - scarsBACK17
WARNING: nonexistent sprite - scarsBACK18
WARNING: nonexistent sprite - scarsBACK19
WARNING: nonexistent sprite - scarsBACK20
WARNING: nonexistent sprite - scarsQUILLSIDE0
WARNING: nonexistent sprite - scarsQUILLSIDE1
WARNING: nonexistent sprite - scarsQUILLSIDE2
WARNING: nonexistent sprite - scarsQUILLSIDE3
WARNING: nonexistent sprite - scarsQUILLSIDE4
WARNING: nonexistent sprite - scarsQUILLSIDE5
WARNING: nonexistent sprite - scarsQUILLSIDE6
WARNING: nonexistent sprite - scarsQUILLSIDE7
WARNING: nonexistent sprite - scarsQUILLSIDE8
WARNING: nonexistent sprite - scarsQUILLSIDE9
WARNING: nonexistent sprite - scarsQUILLSIDE10
WARNING: nonexistent sprite - scarsQUILLSIDE11
WARNING: nonexistent sprite - scarsQUILLSIDE12
WARNING: nonexistent sprite - scarsQUILLSIDE13
WARNING: nonexistent sprite - scarsQUILLSIDE14
WARNING: nonexistent sprite - scarsQUILLSIDE15
WARNING: nonexistent sprite - scarsQUILLSIDE16
WARNING: nonexistent sprite - scarsQUILLSIDE17
WARNING: nonexistent sprite - scarsQUILLSIDE18
WARNING: nonexistent sprite - scarsQUILLSIDE19
WARNING: nonexistent sprite - scarsQUILLSIDE20
WARNING: nonexistent sprite - scarsSCRATCHSIDE0
WARNING: nonexistent sprite - scarsSCRATCHSIDE1
WARNING: nonexistent sprite - scarsSCRATCHSIDE2
WARNING: nonexistent sprite - scarsSCRATCHSIDE3
WARNING: nonexistent sprite - scarsSCRATCHSIDE4
WARNING: nonexistent sprite - scarsSCRATCHSIDE5
WARNING: nonexistent sprite - scarsSCRATCHSIDE6
WARNING: nonexistent sprite - scarsSCRATCHSIDE7
